"","activated.CD4..T.cell","activated.CD8..T.cell","resting.CD4..T.cell","resting.CD8..T.cell","unassigned.activated.T.cell","unassigned.resting.T.cell"
"ARF5",0.224345285841759,0.305328885861932,0.167084897690448,0.172154388232538,0.0880122409302772,0.067422273996714
"SARM1",0.0436099468941154,0.0550294305755303,0.0462762542750346,0.0363560343346401,0.0114732858546883,0
"POLDIP2",0.507891635095243,0.621166012987328,0.257414910675346,0.198092585418657,0.260684063560084,0.175600994814624
"PLXND1",0.00623069942804554,0.0247264400290734,0.0350131957784764,0.0926865876069543,0,0.035690958435471
"AK2",0.573765178872146,0.836382594028813,0.274805468168931,0.258938231663397,0.242679342338583,0.122172267587335
"CD38",0.0969000622140139,0.041262565049097,0.0101719868058029,0.00965837707296449,0.0778281325448583,0
"FKBP4",0.624320971075179,0.700542430452255,0.267495389999836,0.248057089353863,0.253882751570514,0.245079966278763
"KDM1A",0.164843540660302,0.188214224288898,0.18935501364575,0.0663692728120681,0.0834134239239046,0.135013039047654
"RBM6",0.586641776521386,0.719620179952742,0.584509435264782,0.548084101481744,0.447872836834176,0.348906714637
"CAMKK1",0.0284359623719461,0.0229200155761605,0.0105228294318226,0.00919187835782592,0.0111388856354182,0
"RECQL",0.207286556465713,0.254588556555567,0.40337923223647,0.454433591742265,0.217838979493878,0.248518385328688
"VPS50",0.0404653516480955,0.0250848261397124,0.0697647659853659,0.115280407214025,0.0446529190295951,0.0328844259451102
"HSPB6",0,0,0.000546760323165596,0,0,0
"ARHGAP33",0.018532199457259,0.0323671315239265,0.0194517667861893,0.0303496505781921,0.0101072358952995,0
"NDUFAB1",1.470488755526,1.71357604894496,0.839139471168461,0.886431358013934,0.556388574954215,0.835999978555215
"SLC22A16",0.000456386741171492,0,0,0,0,0
"ZMYND10",0.00534721436537442,0,0.00535315091105952,0.019517523503443,0,0
"ABCB5",0.00120681751973394,0,0,0,0,0
"ARX",0.000282846924414718,0,0,0,0,0
"SLC25A13",0.0625538633599503,0.0741317595691043,0.0563850849286012,0.0667616142864116,0.0117900127188981,0
"ST7",0.0217389632989175,0.0307582528174588,0.029928979559102,0.065998911857605,0,0
"CDC27",0.160534661933347,0.188567529602122,0.126105768283804,0.25102362437555,0.0652793999193778,0.132665105768152
"SLC4A1",0.00323544036258351,0.00377593297497491,0.0032041365596308,0.0102768404441967,0,0
"HCCS",0.231280417734581,0.235216241786914,0.144107359209876,0.155188833760936,0.094932937886246,0.134120661933143
"DVL2",0.20076673598942,0.193158032282578,0.218760359555349,0.317387780250862,0.110786996059471,0.172635282482113
"PRSS22",0,0,0.00131431219281107,0.0107356288976837,0,0
"UPF1",0.111182292653122,0.101808025269703,0.0775310793023059,0.104610837691011,0.109500348072633,0.0372647508844599
"SKAP2",0.0650561273501505,0.149248723203808,0.062651457815156,0.214335106966788,0,0.0722221103874413
"SLC25A5",2.00414414127399,2.18353703606971,1.53970165949711,1.32494625640891,1.12089420487676,1.24622424873146
"MCUB",0.625854377805956,0.630915503962776,1.40263242560706,1.59335817440211,0.509085350749895,1.14364942988834
"POLR2J",1.12835658064952,1.32866288560917,0.89812712680096,0.977268596838789,0.816582363398121,0.696614864710215
"DHX33",0.20294566987158,0.268798537857027,0.0784399534451372,0.143548319214269,0.0917104974678018,0.109212772266285
"MEOX1",0.0235163230211177,0.00531073529481002,0.02660140547974,0.0206615876036081,0.0327542851836397,0
"THSD7A",0,0,0.000463151574313551,0,0,0
"LIG3",0.097969573128039,0.0961034809789693,0.0604558920753056,0.053540837695027,0.0754843544101451,0.164567386781847
"RPAP3",0.207805178050723,0.198901380083375,0.189749760034381,0.109796497556898,0.132399654784691,0.146240659662195
"ACSM3",0.0221951927564591,0.0189527955640204,0.0510861139783616,0.0103000625532273,0.00933025814489645,0.110354329014684
"REXO5",0.000853162611937385,0,0.00335240206797084,0,0.0104738979128259,0
"CIAPIN1",0.22287985554228,0.244896595805994,0.176752710664111,0.254224769553246,0.08867803240747,0.109431286115904
"SPPL2B",0.0603423868837393,0.0780841852209382,0.0828278144081493,0.115747871454696,0.0237668954104268,0
"FAM214B",0.0149168581692808,0.0427551287257538,0.056454065392936,0.072631089310897,0.0115226880335081,0
"COPZ2",0.0155415604146814,0.0423088162361911,0.00642625384781135,0.035845865283096,0,0
"PRKAR2B",0.00175088413448813,0,0.00210123694818774,0,0,0
"MSL3",0.756263402505009,0.690308944664923,0.777840250936048,0.478079412415711,0.567802507131054,0.755579400706936
"CREBBP",0.212161811396508,0.230414786746511,0.240795238264676,0.281843294177139,0.0859521809046949,0.373056529878496
"TSPOAP1",0.00453460818909584,0.0197165779021593,0.00655785178852224,0.00786790582868788,0.00778035311817793,0
"MPO",0.00384259425694523,0.00596627825698002,0.00231706038050387,0.00962975150660465,0,0
"GCFC2",0.255503260910626,0.283263929492922,0.118616884973632,0.0999669185158802,0.132467204513972,0.107081056715132
"WDR54",0.240432974779744,0.305417575800729,0.455642257172843,0.612496350243775,0.170090698469379,0.470482521228962
"CROT",0.0441613930855775,0.04771489857741,0.0586103050068937,0.0911727063139977,0.0241062396781266,0.0741741743173685
