"","amacrine.cell","microglial.cell","Muller.cell","retinal.bipolar.neuron.type.A","retinal.bipolar.neuron.type.B","retinal.bipolar.neuron.type.C","retinal.bipolar.neuron.type.D","retinal.cone.cell","retinal.ganglion.cell","retinal.rod.cell.type.A","retinal.rod.cell.type.B","retinal.rod.cell.type.C"
"GALNT12",0.010047967,0.046688856,0.011937501,0.013782395,0.024052122,0.024714414,0,0.030543708,0,0.000749588,0.001652234,0.023990896
"DENND1A",0.193136213,0.064972762,0.263805364,0.182406913,0.170356128,0.121513162,0.137552466,0.129736473,0.07605455,0.06102913,0.062779363,0
"ALG2",0.14630193,0.162632064,0.20138323,0.105889189,0.095487205,0.121989285,0.167429096,0.167697286,0.040399479,0.137942581,0.116706604,0
"CSF3R",0.012456364,1.642918906,0,0,0,0,0,0,0,0.000498556,0.002165945,0
"KDSR",0.700831462,0.461735079,0.670141612,0.46871656,0.468074384,0.54289326,0.470323229,0.399258315,0,0.437794799,0.409580048,0.163536036
"VPS4B",0.728317418,0.455811113,0.430693562,0.350693791,0.281142851,0.331723307,0.338488528,0.209631807,0.274890116,0.199052666,0.205736176,0.135061767
"ONECUT2",0.790182051,0,0.010746681,0.043769647,0.100749219,0.075179312,0.031934508,0.099566796,0,0.008220305,0.006388665,0
"C19orf25",0.887197291,0.294561601,0.529773825,0.643446309,0.629944712,0.602528113,0.556615944,0.681454378,0.310113865,0.456375698,0.440567226,0.501085025
"ZBTB45",0.159942587,0.124082161,0.078289805,0.113792608,0.075958982,0.13080929,0.028179196,0.046824814,0.12233403,0.051271143,0.050736781,0.041936399
"YLPM1",0.693905867,0.141211948,0.373008993,0.545289064,0.427441346,0.449526052,0.381296253,0.518481645,0.244161208,0.201620094,0.209025048,0.162344402
"DCAF4",0.043076192,0.041572991,0.026786554,0.039095373,0.018218725,0.013739035,0.018564563,0.004564071,0.035885001,0.021005189,0.035381627,0.025582435
"PROX2",0,0,0,0,0,0,0,0,0,0,0.00119085,0
"VSX2",0.078255927,0.022306313,1.241215241,2.857727287,1.512416132,1.580818735,1.825334168,0.026751847,0.110367332,0.01818706,0.01517825,0.065185388
"FCF1",0.222477691,0.151926239,0.173480519,0.203445818,0.094124675,0.197532772,0.094364546,0.118353007,0.122930731,0.09255195,0.095504734,0.034145209
"PGF",0.023239888,0,0.014487113,0.034025066,0.085136782,0.016296127,0.09595162,0.169696395,0,0.123356611,0.118825862,0.073312324
"IFI27L2",1.282336486,1.589818162,1.777014914,0.826338749,0.99354735,0.996144933,0.393207551,2.975342452,2.660770378,2.815306263,1.736012683,1.430136376
"BBOF1",0.419083286,0.070555407,0.213209843,0.231019493,0.2055131,0.263560143,0.264236984,0.969901723,0.445280484,0.67125681,0.497954927,0.535385266
"NEK9",0.251505691,0.058895865,0.240588429,0.20642463,0.16805244,0.175391811,0.103865945,0.244141011,0,0.089205269,0.118767928,0.138456116
"ACYP1",1.092120799,0.307194868,0.442862562,1.063094652,1.14518601,1.525739684,1.152227353,1.041429897,1.215766411,0.719645816,0.507103083,0.487712578
"IFT43",0.727272049,0.19053509,0.67388881,0.614753346,0.568969294,0.579109847,0.541007129,1.311547374,0.312848383,0.815390086,0.687544963,0.5586766
"NPC2",0.250607841,3.386437376,1.619088407,0.654004724,0.242424628,0.179218469,0.225779909,0.920952951,0.284928197,0.339850107,0.275015544,0.084509728
"DPPA5P4",0,0,0,0,0,0,0,0,0,0,0,0.02477123
"DNAL1",0.266348513,0.026800601,0.344819377,0.269190216,0.28591693,0.238087058,0.258114899,0.980744346,0.034302829,0.526265643,0.431351274,0.318943735
"IRF2BPL",0.498072571,0.130124023,0.577919716,1.018573923,0.608840464,0.565938127,0.452995479,0.984835801,0.196635443,0.06917172,0.04682168,0.069845481
"ACOT2",0.16853446,0.100587596,0.047208128,0.034622962,0.015355255,0.02527118,0.00832515,0.249353533,0,0.063226436,0.043159024,0.051852979
"LTBP2",0,0,0.004439049,0.027165021,0.005164837,0.016860747,0,0,0,0.00460677,0.002488375,0
"AREL1",0.129007836,0,0.107045291,0.159571193,0.132520853,0.215313791,0.063265544,0.198577707,0.117863704,0.068918798,0.077048699,0.051275365
