"","amacrine.cell","microglial.cell","Muller.cell","retinal.bipolar.neuron.type.A","retinal.bipolar.neuron.type.B","retinal.bipolar.neuron.type.C","retinal.bipolar.neuron.type.D","retinal.cone.cell","retinal.ganglion.cell","retinal.rod.cell.type.A","retinal.rod.cell.type.B","retinal.rod.cell.type.C"
"HERC2P3",0.013688661,0,0.036008552,0.012270169,0.030763397,0.024817064,0.018508631,0.03731206,0,0.012788448,0.021647909,0
"ZNRF2",0.032787008,0.134674603,0.010897649,0.064291617,0.032679688,0.064609584,0.010118388,0.864112416,0.064615832,0.00744015,0.00471833,0
"RRH",0.009580904,0.022700128,1.454919806,0.04027813,0.040459898,0.013856774,0.042140534,0.031842486,0.040399479,0.014547806,0.014199839,0.048785323
"ZNF816",0.010476341,0.021894646,0.009159372,0.050208744,0.005728144,0.007074209,0,0.062526227,0,0.024363789,0.025010582,0.024841083
"FGD6",0.082787878,0.067716876,0.05827132,0.159456863,0.019109968,0.033323013,0,0.112258152,0,0.044107235,0.07147551,0.048804884
"ADGRD2",0,0,0.004278141,0,0,0,0.009198623,0.020185114,0,0.000487296,0.001794688,0
"LINC01869",0.010527693,0,0.004462967,0,0.006288068,0,0,0,0,0.002743976,0.00189758,0
"PLD5",0.065598566,0,0,0,0.019601399,0,0,0,0,0.000812049,0.001338445,0
"OAZ2",2.067227462,0.795114945,2.76130064,1.831383186,1.814712522,1.738418787,1.679473201,3.525325491,2.887373493,2.8438522,2.208855109,1.959180705
"WFDC10A",0.011015098,0,0,0,0.005098841,0,0,0,0,0.003911172,0.000694423,0
"PNPLA1",0,0,0,0,0,0,0,0,0,0.000504848,0.000632218,0
"ALX1",0,0,0,0,0,0,0,0,0,0.000719744,0.002009696,0
"CCDC43",0.791372102,0.199370461,0.334657997,0.559964514,0.393949629,0.370482808,0.425874596,0.646470772,0.385256139,0.600584735,0.407380551,0.508291413
"KCTD4",0,0,0,0,0,0,0,0,0,0,0.000640234,0
"MEIOC",0.009554983,0.028804527,0.033690559,0.008620749,0.011566548,0.007429539,0.009200132,0.015684793,0,0.004392245,0.006433523,0
"FZD2",0,0.047817759,0.042900511,0,0,0,0,0,0,0.000812049,0,0
"TIGD2",0.090323433,0.061873144,0.047129809,0.188849808,0.111190268,0.19321815,0.161506958,0.194974606,0.047920322,0.233890461,0.198485414,0.215971457
"HCLS1",0,2.285850085,0.010634935,0,0,0.007318893,0,0.004169969,0,0.005116938,0.005903507,0
"MTURN",0.48398884,0.263222066,0.11737863,0.623213848,0.683389373,0.421298758,0.232088795,0.206817801,0.524981881,0.098237825,0.070528134,0.038334087
"ZNF609",0.473865365,0.081738015,0.281385332,0.3358319,0.430205255,0.200941153,0.447646997,0.576875608,0.040399479,0.234766056,0.303446097,0.273571641
"PAK2",0.883386913,0.515453572,0.944169658,0.648758665,0.728215262,0.584096563,0.539093726,0.743489386,0.191807531,0.497137474,0.440922609,0.31839218
"CCDC66",1.132580136,0.478653055,1.012186019,0.956299319,1.187034372,1.185250402,1.049175319,1.350092102,0.182279787,0.919378187,1.310206106,1.215256736
"EMC3-AS1",0.147165763,0.04475721,0.098381974,0.232205834,0.12545163,0.157165457,0.148503205,0.071391683,0,0.073267274,0.12495225,0.088375891
"ATP5EP2",0.099866691,0.133282739,0.107982005,0.301623976,0.104224443,0.259169907,0.304752858,0.314453714,0.676728578,0.135239959,0.068489206,0.075460922
"MCFD2",0.981811218,0.231916226,2.164663509,0.946533428,0.818274985,0.721275313,0.928381638,0.942969358,0.356663734,0.477384384,0.402992453,0.278752574
"OR10AA1P",0,0,0,0,0,0,0,0,0,0,0.000669177,0
"LINC00304",0.01116468,0,0,0,0,0,0,0,0,0.000451227,0.000680727,0
"HARBI1",0.009921212,0.025129414,0.031090202,0.047682454,0.043601432,0.032297702,0.075008485,0.103201318,0,0.048641228,0.05550703,0.023785065
"C11orf71",0.425471242,0.290763904,0.520789229,0.600656176,0.479593861,0.597987368,0.627202882,0.688615243,0.642754233,0.48709832,0.38312926,0.371841771
"TPRXL",0,0.028171741,0.004404537,0,0,0,0,0.004237906,0,0,0.000516493,0
"SERTM1",0.022785253,0,0,0.008345689,0.535567578,0.014503595,0.018899416,0.005793258,0,0.000706207,0.001725977,0
"GAS1",0.0097421,0.019919417,0.550819603,0.02344436,0.117131808,0.03219898,0.115024505,0.036056493,0,0.016107665,0.014048504,0.025530793
"ARHGAP45",0.056877605,0.568964162,0.044630868,0.081121315,0.206029149,0.158369046,0.202638527,0.416927454,0,0.140668648,0.2578619,0.377592518
"AC022148.1",0.0102195,0.018140222,0,0.038117458,0.05344349,0.032605492,0.048747753,0.113019176,0,0.055196035,0.050804112,0.048228374
"ZNF571",0.130293821,0.025856233,0.035837948,0.136097499,0.108474433,0.126124286,0.08040906,0.106492415,0,0.076835837,0.079610486,0.066664843
"GLIPR1L2",0.036745521,0.024669342,0.088198283,0.118999043,0.07810219,0.06677051,0.069391838,0.010077431,0,0.02140436,0.012594673,0.025342376
"DEFB119",0.341469924,0.338573592,0.293883707,0.225446603,1.202190464,0.99667588,1.505353924,0.473677566,0.282332814,2.194859138,1.794281193,1.154377057
"MIGA1",0.713957172,0.146897622,0.34006231,0.460270424,0.363367562,0.460335469,0.474285605,0.323487523,0.047623566,0.228014658,0.323343704,0.130814029
"KCNE1",0.011785711,0.018976589,0,0.043453043,0.006159581,0,0,0.009735716,0,0.003298814,0.004318753,0
"PRR26",0.009853215,0,0.027453508,0.004710218,0,0,0.006938011,0.008862139,0,0.00163948,0.004019041,0
"NRIP1",0.459377233,0.313977656,0.570178003,0.141425803,0.320719566,0.440820953,0.323372228,0.800296729,0.073429721,0.527832056,0.589315285,0.801107619
"RNF182",0.348720806,0.021985996,0.2653728,0.302240799,0.332851136,0.363442172,0.394933507,0.022728358,0,0.00327919,0.004765153,0
"C9orf139",0.010450369,0,0.012906509,0,0,0,0,0,0.040399479,0,0.002608527,0
"TSPYL5",0.245052325,0.122321292,0.202418964,0.314941084,0.133924098,0.067930584,0.050394554,0.178101169,0,0.125856702,0.091038745,0.114459392
"HIST1H2AC",0.417041734,1.824313631,0.198300979,2.172906639,0.613882119,0.602354579,1.106708324,0.283902644,0,0.088402016,0.095020807,0.069185965
"AC068775.1",0.021662882,0.019825187,0.004660772,0.029772938,0.017607172,0.01781297,0,0.021427501,0,0.007115994,0.014640294,0
"SRP9P1",0,0,0.006426957,0,0,0,0,0,0,0.000631615,0,0
"SKIDA1",0.113003946,0,0.09335175,0.270965697,0.208442594,0.073172404,0.152374628,0.099675817,0,0.028847829,0.024932656,0.05100503
"HIST1H2BC",0.009575429,0.52770413,0,0.049546529,0,0.023101179,0.018826565,0.014517282,0,0.006292423,0.003265758,0
"MB21D2",0.029411272,0.082027553,0.008845677,0.289045431,0.235922727,0.17742482,0.045990957,0.110536776,0,0.001059201,0.001173508,0
"SSTR2",0.625063676,0.024669342,0.023651892,0.021508259,0.93000483,0.159403402,0.031714227,0.026247666,0.069967853,0.010674077,0.015693561,0.046462348
"ZNF594",0.064035226,0,0.136584362,0.110779617,0.098689805,0.113292886,0.182684782,0.09114606,0,0.071488277,0.114332608,0.083463231
"PCGF5",0.384015401,0.357845582,0.84917674,0.27173815,0.282418412,0.207255368,0.33809824,0.249672556,0.190384687,0.136529805,0.131261911,0.090855463
"SLC47A2",0,0,0.073466125,0,0,0,0.008318243,0,0.040399479,0.002063417,0.00264565,0
"PRF1",0,0.142973495,0,0,0,0,0,0,0,0,0,0
"MAB21L1",1.719969948,0.127532474,2.830628314,1.293280045,0.813209635,1.08868489,1.420363537,1.92856307,0.245744376,1.660712002,1.902022508,2.00350623
"RPL21P8",0,0,0.005731097,0.008830946,0,0,0.009354918,0.005301927,0,0.004062306,0,0
"YOD1",0.064466413,0.120832747,0.131026007,0.072286965,0.108304612,0.077705311,0.042163347,0.067488373,0.149488881,0.14861145,0.168421129,0.251841859
"EXOC5P1",0.009580904,0,0,0,0,0,0,0,0,0.000554136,0.001101634,0
"TMEM64",0.043181361,0,0.023466918,0.009033942,0.023432237,0.034431751,0.010518214,0,0.05758983,0.001415276,0.001381504,0
"LINC02363",0.009409892,0,0.006629581,0.00614038,0.006422192,0,0,0,0,0.000436925,0.00063505,0
"CLRN3",0,0.024636416,0,0,0,0,0,0,0,0,0,0
"SMG1P3",0.023037793,0.060831795,0.01692371,0.037366881,0.031445908,0.015204852,0,0.005870076,0,0.016681243,0.016905096,0.027185605
"GPR157",0,0,0.011366079,0,0.005496258,0.007831063,0,0.004984523,0,0.000553803,0.000545944,0
"PIPSL",0.01317415,0,0.011876529,0.008626785,0.011614918,0.00832449,0.016570102,0,0,0.008004237,0.006879802,0
"CHST13",0,0.232674307,0,0,0,0,0,0,0,0,0.000680831,0
"WDFY3-AS2",0.145314372,0.050466361,0.646336223,0.208799999,0.122168049,0.169744254,0.18529993,0.174754463,0.242933625,0.084748206,0.06723138,0.023885291
"AGTR2",0,0,0,0,0,0,0,0,0.07605455,0,0,0
"SLC36A4",0.763550806,0.24329846,0.399949708,0.566855881,0.46278173,0.505215061,0.483823151,0.952929889,0.272842895,0.375124921,0.2881187,0.184543603
"ZDHHC20",0.198355986,0.041952889,0.127085084,0.117684514,0.097776181,0.085374407,0.100309948,0.144994756,0,0.060014347,0.092480165,0.09660048
"ANKRD30B",0,0,0,0,0,0,0,0,0,0.00056226,0,0
"OR51E1",0.009721489,0,0,0,0,0,0,0,0,0,0,0
"ZFP3",0.058206926,0.059645989,0.071538284,0.064494635,0.066771928,0.032292343,0.059618801,0.110627561,0.066619358,0.04228246,0.068376236,0.094177902
"ARSJ",0,0.022764031,0.146395381,0,0.005639984,0,0.010432679,0,0,0,0,0
"AL157366.1",0,0,0,0.00426858,0,0,0,0,0,0,0,0
"HOXC9",0,0.020398244,0,0,0,0,0,0,0,0,0,0
"MAP3K15",0.015355259,0,0,0.004762513,0.013070886,0,0,0.02483154,0,0.009834097,0.011759257,0.025342376
"PPA1",2.140116741,1.803305265,4.152224591,2.401277115,1.990807342,2.107354865,2.191098295,3.958654891,2.744324487,2.792800255,1.994546212,1.474119791
"HOXC10",0,0.106815278,0,0,0,0,0,0,0,0,0,0
"PSMG4",0.501255203,0.258149673,0.228183502,0.374036085,0.286850253,0.439075174,0.388744255,0.453165833,0.346132241,0.367518117,0.18523364,0.166500122
"BHLHE22",0.500153877,0,0.022732418,0.004643716,1.282857341,0.153554982,0.035041571,0.011580822,0.204763219,0.003420359,0.00258749,0
"ZNF443",0.012049754,0,0.053506458,0.082119917,0.045122791,0.049166601,0.063779636,0.042352696,0,0.039018781,0.042793022,0.07637514
"LINC01559",0,0,0,0,0,0,0,0,0,0.000554011,0,0
"PDIA3P1",0,0.054565688,0.010284097,0.028154632,0.017839471,0.008123429,0.008257976,0.009815926,0,0.013025924,0.006459519,0
"LINC01555",0,0,0.004536745,0,0,0,0,0.125453202,0,0.002499717,0.003339516,0
"CXCR2",0,0.024636416,0,0,0,0.007890194,0,0,0,0,0,0
"GREM2",0.184743836,0.022312453,0.023671439,1.360173915,0.652867514,0.367391894,0.160945991,0.303752399,0,0.102804695,0.09064617,0.150889362
"SSR4",1.180752508,1.93277266,1.33789928,1.546477618,0.991030617,0.98950774,1.037395559,1.751865298,0.391605082,1.635796919,1.014974922,0.78119104
"CAPS2",0.224167273,0.158390317,0.31089221,0.080980504,0.129974563,0.084557551,0.045594286,0.189917508,0,0.712369285,0.586173527,0.512763026
"ZNF792",0,0.042017111,0.027418754,0.039073028,0.030727136,0.009328219,0.010592357,0.020209963,0,0.024244465,0.022452242,0.023203301
"CUEDC1",0.185011691,0.054160707,0.203845912,0.046830363,0.421316694,0.421899508,0.143263578,0.466737249,0.080028023,0.324085222,0.28392315,0.383440401
"SCRIB",0.109662679,0.069838391,0.08441116,0.079766821,0.084658747,0.055667365,0.098311581,0.12857357,0.040399479,0.040787359,0.060883681,0.070527627
"KCTD2",0.313636928,0.043149046,0.091414491,0.399803541,0.307659084,0.562389006,0.343265999,0.06776569,0.242376532,0.027047519,0.024276798,0.02830267
"D2HGDH",0.238804452,0.158798831,0.581027569,0.112823745,0.11247266,0.13306136,0.123530171,0.126254554,0.060103776,0.058748435,0.061305284,0.094190519
"OXTR",0.045727983,0,0.127325208,0.009139122,0.015769148,0.014674487,0.009052834,0.006290077,0,0.001323805,0.002623336,0
"CMTR2",0.239939968,0.296228866,0.334599779,0.230245767,0.244323874,0.288228489,0.242819461,0.389434857,0,0.172109038,0.281288312,0.343139553
"FAM83H",0,0,0.04068081,0.024131195,0.012978499,0.016732182,0.021291168,0.010674867,0,0.007210695,0.006401683,0
"GPR62",0.021846,0,0.025681992,0,0.012553444,0.015754277,0.01862611,0,0,0.002658233,0.002466042,0.021434244
"OR56A1",0,0,0,0.004793074,0,0.007318893,0,0,0,0,0,0
"ZNF572",0,0.024989403,0.03511796,0.030679034,0.026347874,0.02595387,0.00832515,0.014292457,0.066898316,0.009711231,0.017396959,0
"ST20",0.34673832,0.088382926,0.141582702,0.228342997,0.281422305,0.26445906,0.214214746,0.298605382,0.386291375,0.156590664,0.099104392,0.13161183
"PITPNB",0.843968269,0.352800984,0.305508071,0.35814388,0.411373438,0.46226831,0.354149729,0.442027772,0.440352815,0.315252393,0.233324086,0.245292545
"TCEAL8",1.190782297,0.938441241,1.100706698,1.437370497,1.128689423,0.980399516,0.83230632,1.094894625,2.256351195,0.904232668,0.659836155,0.3401683
"LRRC57",0.199646792,0.211682085,0.363047363,0.148364521,0.169901729,0.105202345,0.157164333,0.557825696,0.045725194,0.714133231,0.625713972,0.494196485
"MRPL14",0.993756976,0.913399676,0.786951021,1.044155667,0.853909092,0.659354338,0.762859527,2.9395211,0.918563438,1.356901375,1.040666944,0.656051809
"GPR137C",0.244123821,0.042409358,0.156441354,0.484160214,0.377819186,0.341281421,0.277847804,0.05633625,0.054199128,0.275923101,0.237958033,0.253270455
"C1orf105",0.046727189,0,0.010445261,0,0,0,0,0,0,0,0.001332355,0
"OR52N1",0,0,0,0.004233722,0,0,0,0,0,0,0,0
"BBS12",0.064255674,0.159801895,0.157829307,0.088344341,0.108206424,0.10694406,0.103525416,0.228285503,0,0.586860238,0.544698246,0.412807627
"ZFP82",0.337662011,0.025105874,0.131785381,0.207466378,0.131656634,0.325413171,0.248495157,0.176734717,0.141072436,0.137630025,0.166834358,0.245969052
"LSMEM1",0.03811116,0,0.004204065,0.009440778,0.015054516,0.016590426,0.021350065,0.013813137,0,0.006277699,0.013823229,0.021154398
"OR56B2P",0,0,0.009383456,0,0,0,0,0,0,0,0,0
"NQO1",0.057936218,0.106368747,0.12125051,0.982153462,0.089900176,0.05249122,0.038329923,0.080205962,0.21689941,0.377129357,0.208230163,0.243815178
"AEN",0.023754874,0.076043144,0.031944636,0.009938927,0.006681088,0.014945789,0,0.014859825,0.058125814,0.011367871,0.009061097,0
"FKRP",0.07923686,0.063279713,0.115359838,0.065457445,0.043271689,0.040781145,0.047568242,0.13569691,0.064696933,0.108182655,0.074187712,0.046428019
"TRAPPC5",0.044615409,0.050721565,0.047739971,0.22875045,0.119188184,0.170387147,0.09313667,0.088034142,0,0.040452285,0.025768024,0.022307254
"RPH3AL",0.185009158,0,0.601327832,0.034174883,0.035197999,0.048109697,0.010284554,0.025106801,0,0.037623789,0.029746003,0.021030057
"SLC25A42",0.147533563,0.021985996,0.080687719,0.341060676,0.291088429,0.246728267,0.328711999,0.162669844,0.141936253,0.10728577,0.133454055,0.064851392
"FCRL6",0,0,0,0,0,0.016440968,0,0,0,0,0,0
"METTL23",0.475023336,0.61705028,0.472256655,0.355083902,0.31083159,0.224026318,0.373683788,0.539088201,0.29894998,0.397923178,0.298986671,0.175890353
"SLC26A11",0.16770887,0.078079289,0.19551322,0.268138014,0.226066167,0.253561201,0.220672492,0.126747655,0,0.17245131,0.206115319,0.262061968
"HIGD1A",1.394121167,0.709121807,1.988420544,1.615004119,1.39926224,1.425307367,1.051106238,3.066704329,2.756224432,1.786772125,1.088523282,0.834482259
"CHRM2",0.145011224,0,0.004705708,0.072008304,0.004501934,0.057340058,0,0.005322345,0,0,0,0
"OR52N4",0,0,0.012012082,0,0,0,0,0,0,0.0005955,0,0
"EHMT1",0.75942575,0.257662923,0.376387325,0.504272279,0.410153799,0.405380269,0.446527836,0.458822763,0.107888956,0.309740081,0.404757467,0.374379011
"ADIPOQ",0,0,0,0,0,0,0,0,0,0.000735395,0,0
"AC105219.1",0.047458659,0.025105874,0.015914195,0.012704207,0.010699603,0.017614424,0.054590889,0.036913159,0,0.014423005,0.021343183,0.024962285
"F2R",0.022539474,0,0.004278141,0.018259481,0.005012877,0.168497306,0,0.014907266,0,0.001435939,0.002623339,0
"OR52P1P",0.02049421,0,0,0,0,0,0,0,0,0,0,0
"AC004832.1",0,0,0.131778099,0,0,0,0,0,0,0.00105846,0.001146911,0
"HLA-V",0.036064554,0,0.010176701,0.036560679,0.044303877,0.008584317,0,0.133160662,0.034302829,0,0.000670334,0
"ZNF707",0,0.070340613,0.036050366,0.047210902,0.011996695,0.032899326,0.068105145,0.012465342,0,0.021152529,0.02246842,0.021956108
"NPM1",2.148076546,2.640887203,1.701736518,2.536041571,2.351105772,2.153952385,2.090103595,1.692058516,2.884468733,1.495294727,1.01120442,0.76402337
"PJA1",0.491637438,0.062619878,0.31480713,0.379490756,0.35376735,0.34799565,0.227222854,0.034296041,0.179342883,0.060542577,0.048205138,0.021609712
"DHTKD1",0.355493386,0.082722436,0.229516921,0.179796119,0.147516361,0.161165245,0.111745573,0.146184673,0,0.146309454,0.180693884,0.200045252
"PENK",0.162375079,0,0,0,0,0,0,0,0,0,0,0
"HIST3H2BA",0,0,0,0,0,0,0,0.004628278,0,0,0,0
"HECW1-IT1",0.019972443,0,0.004476847,0.049764343,0.03531148,0.015376337,0.019234701,0,0,0.000636436,0,0
"C4orf50",0.011880415,0,0.031717223,0,0,0,0,0,0,0.000524132,0.000659767,0
"HIST3H2A",1.395621529,0.820732414,0.339108291,1.349222459,0.568214255,0.571570787,0.206071103,3.194843868,0.336024723,0.033830158,0.019805816,0.021788559
"ZNF746",0.188568301,0.095195367,0.05493119,0.136075639,0.083760238,0.03385828,0.095378932,0.06496733,0,0.040929213,0.050806853,0.071105805
"POLR2A",0.833503749,0.607767933,0.281153876,0.842028655,0.721723468,0.673913735,0.515455946,0.492029572,0.107326965,0.347698451,0.397965732,0.281339663
"TMEM132C",0.076701823,0,0.011147129,0.180331336,0.160236987,0.046056457,0.115592564,0.049484085,0,0.001780453,0.001254104,0
"SLC25A41",0.060090964,0,0.004723709,0.004145922,0.012816011,0.016472124,0.017205676,0.009086521,0.040399479,0.007229667,0.014048982,0
"MTHFD2P7",0,0,0,0,0.007197231,0,0,0.005640044,0,0,0,0
"TMEM136",0.290708102,0.134610975,0.319645611,0.342654437,0.323533547,0.475472389,0.204788294,1.319181469,0,1.417771715,1.285408768,1.270243507
"FRAT2",0.146663085,0.089117292,0.009547446,0.016974675,0.035537713,0.053434068,0.046194305,0.090377107,0.068875525,0.041099391,0.030461614,0.084770609
"TMEM102",0,0,0.011082706,0,0,0,0.008376757,0.004054971,0,0.004793059,0.003054978,0
"TMEM132E",0.014281509,0,0.005664836,0,0,0.008773142,0,0,0,0,0,0
"ZNF322",0.594227135,0.174068636,0.358714907,0.442790953,0.307219214,0.348906378,0.467738062,0.106580728,0.035885001,0.157424189,0.209714285,0.2757443
"NME9",0.114549631,0.01827282,0.109706255,0.004098695,0.010952513,0.041118179,0.008970889,0.140659235,0.071517967,0.077974656,0.0668746,0.141478096
"SPEM1",0,0,0,0,0,0,0,0,0,0.001099849,0.001919512,0
"LRRC75A",0.172016847,0.037677139,0.076960508,0.104025277,0.041477932,0.05019025,0.120905876,0.152045668,0.035885001,0.071240535,0.059768993,0.053474752
"OFCC1",0.227816549,0,0,0,0,0,0,0,0,0,0,0
"CTAGE10P",0.011537827,0,0,0,0,0,0,0,0,0,0,0
"AC096571.1",0,0.020842734,0,0.008094895,0.004459925,0.007429539,0,0,0,0.005903558,0.001987746,0
"CFAP65",0.02153875,0.033692629,0.015267931,0.029964296,0.032776865,0,0.01047076,0.342092302,0.047282117,0.158881511,0.167266579,0.305029137
"DDX60L",0.078410386,0.272495725,0.092885816,0.0431916,0.037513067,0.024496735,0.027308485,0.253596139,0,0.11182093,0.15174346,0.208782979
"SYNE4",0.024909195,0,0.005850506,0.013324787,0.011296959,0.015403948,0.009258138,0.015501691,0.073161867,0.001136253,0.004389569,0
"OGFOD3",0.268648348,0.277908226,0.218335826,0.101394385,0.166116404,0.113649508,0.290025462,0.189233845,0,0.115977372,0.11832078,0.020614854
"WASHC1",0.260277386,0.021070269,0.097716111,0.14015982,0.111134604,0.167123469,0.243200837,0.209655395,0.060103776,0.069869417,0.078726791,0.077181359
"AATK",0.154307975,0.020468079,0.074948359,0.13713975,0.129308643,0.199386294,0.087256209,0,0.151988113,0.001316515,0.001186433,0
"DDN",0,0,0,0.038177213,0.004533932,0,0.010851162,0,0,0.001566916,0.001727353,0
"SAGE1",0,0.022312453,0,0,0,0,0,0,0,0,0,0
"ZNF467",0.274668185,0.163716524,0.862111547,1.065844098,1.1621438,0.61568319,0.581500785,0.567463818,0.202400529,0.021310402,0.018329329,0.047102028
"SOX2",0.577496881,0.021287871,2.818379533,0.055464817,0.069283623,0.057523024,0.049893302,0.024054862,0.040399479,0.017858045,0.014703641,0.045385022
"ZNF678",0.177637382,0.027651046,0.098530686,0.214710926,0.142483418,0.194044644,0.06642333,0.119202574,0.074413708,0.095382614,0.098354745,0.138977809
"TMEM45A",0.07312092,0.02300899,0.089895367,0.093843457,0.054122284,0.069670698,0.086070785,0,0.126781517,0.004226248,0.003725151,0
"RAP2B",0.055968856,0.246936818,0.085852604,0.015659651,0,0.037967398,0,0.02151587,0,0.020661795,0.022349647,0.023442946
"ZBTB2",0.102178283,0.058087928,0.048466954,0.027149683,0.023849225,0.041319575,0,0.021069513,0,0.030948887,0.036085557,0.045060378
"RNF135",0.021028706,0.340006618,0.059089612,0.003900366,0.036762104,0,0,0.031004729,0,0.017889039,0.007842072,0
"ACBD4",0.265791274,0.140783787,0.279751778,0.287428596,0.208600266,0.224644318,0.139634879,0.350031467,0.044388688,0.185115598,0.155180698,0.196868643
"OR8D4",0.010923245,0,0,0,0.006422192,0,0,0,0,0,0,0
"SGSH",0.03211463,0.043049989,0.063781091,0.009715143,0.041005792,0.02405994,0.040151729,0.020962245,0,0.018983573,0.017088797,0.02429764
"RPL24P4",0.097255107,0.09615954,0.065271597,0.153731601,0.113592868,0.039958031,0.109995501,0.125533488,0.178234899,0.098405098,0.055267424,0.135280307
"MAB21L2",0.95117463,0.022966387,0.128882635,0.012571601,0.087494206,0.02394615,0.138155391,0,0.17315309,0.003544528,0.001982075,0.020107976
"FANCB",0.021430285,0.04464305,0.016527839,0.011949341,0.044172577,0.030678977,0.028193842,0,0,0.000472598,0.003371399,0
"SETD2",0.620197371,0.270453994,0.417218636,0.550775498,0.609249578,0.511201951,0.567444637,0.581352844,0,0.284427873,0.36802292,0.350001656
"C6orf223",0,0,0,0,0,0,0,0,0,0.013456773,0.005346843,0
"TMIE",0.133102914,0,0.004705708,0.110934817,0.02357099,0.080869394,0.075962879,0,0,0,0.00070192,0
"MEX3D",0.061707983,0,0.022049876,0.019224459,0,0,0,0.008867417,0,0.002768446,0.005872095,0
"MRPS23",0.840181751,0.303001563,0.623868631,0.86777136,0.748961293,0.619138208,0.713601117,1.301976693,1.080536952,1.089938604,0.761733444,0.744522963
"OR52H1",0,0,0.00522156,0,0,0,0,0,0,0,0,0
"GPR135",0.037021795,0.018140222,0.011279078,0.025189211,0.005429262,0.032021937,0,0.013828613,0,0.005910879,0.010287818,0
"SLX1B",0.021775649,0,0.004700015,0,0,0,0,0.004396407,0,0.000520802,0,0
"ANKRD62",0.014681643,0,0,0.003794226,0,0,0.010655354,0,0,0.002516258,0.002374462,0
"P2RY13",0,1.085175024,0.010628918,0.003776762,0,0,0,0,0,0,0,0
"TNFSF15",0,0,0.011049155,0.008205343,0,0.00822845,0,0.010761246,0,0.006117135,0.003447538,0
"ZFP41",0.099349656,0,0.028488732,0.018937615,0.070857491,0.008989155,0.039531135,0.037816239,0.073897559,0.022347584,0.025345622,0.020294166
"PHLDA2",0,0.128429013,0,0,0,0,0,0,0.766762945,0,0,0
"ATG9B",0.1466543,0,0.010956834,0.037052983,0.057450218,0.006597333,0.009035806,0.028436173,0.094923791,0.009788318,0.015927782,0
"GPR88",0.030464086,0,0,0,0,0,0,0,0,0.000773468,0,0
"HKR1",0.786853278,0.171857412,0.533008825,0.824968281,0.889669034,1.066922578,0.870221888,1.726432726,0.23254057,1.74785956,1.557789363,1.404141805
"PLAG1",0.463938516,0.209845069,0.573612741,0.543471438,0.268044011,0.447171675,0.574260279,0.343272307,0,0.1954081,0.316500794,0.353668111
"YIPF6",0.877018542,0.245532439,0.946076386,0.8862956,0.67589275,0.524705351,0.470216241,0.755092564,0.235118102,0.726446553,0.595771432,0.6970124
"ZBTB20",1.157785198,0.29006052,2.629323705,3.772353881,1.240728731,1.259725272,1.33407245,0.639631054,0,0.704923355,1.119451313,1.215877347
"C3orf58",0.132061125,0.344719731,0.322533728,0.075278418,0.167311897,0.14188304,0.146755575,0.478718112,0,0.031512101,0.026539311,0.098428304
"C5orf30",0.267075741,0.043364859,0.903670335,0.471018138,0.523998792,0.235261648,0.846295048,0.189710018,0.205434065,0.463165426,0.371181736,0.262071237
"AMIGO1",0.219689142,0.018976589,0.048835391,0.058402165,0.252405919,0.234897132,0.473756472,0.15457502,0.074413708,0.068064595,0.065965385,0.068503412
"GPR3",0.010900336,0,0.012885687,0.014310125,0.006318813,0,0,0,0,0.00159285,0.000581471,0
"ODF3L2",0,0,0,0.009248824,0.005629734,0,0,0,0,0.006885535,0.011318027,0
"SIAH2",0.256802708,0.217620205,0.154287527,0.190082586,0.285918179,0.230378922,0.116512545,0.038078929,0.361028452,0.002801893,0.000969785,0
"COPG1",0.192978818,0.168382049,0.127739432,0.101237225,0.075327637,0.081579998,0.047233119,0.024998991,0,0.061076997,0.055919594,0.024051633
"ADGRB1",0.193894189,0,0.071338874,0.022641661,0.175606717,0.018429989,0.051382805,0,0,0.00095544,0,0
"LINC00471",0.010976628,0,0.073817423,0.063562165,0.05533052,0.081118212,0.038279745,0.089012678,0,0.079558291,0.079836654,0.154432169
"CELF2-AS1",0,0,0,0,0,0,0,0,0,0.000569259,0,0
"SLC9A9",0,0.409460937,0.158127457,0.00380213,0.036948775,0.031903253,0.019369449,0.059087937,0.066898316,0.000452184,0,0
"LSM10",0.539354889,0.641038794,0.374883036,0.320581773,0.351478923,0.291365197,0.26001753,0.476653787,0.603171375,0.227549451,0.179749339,0.177434249
"KCTD9P2",0,0,0,0.004795888,0,0,0,0,0,0,0,0
"RELL1",0.012820183,0.023400015,0.093708194,0.007773114,0.026486082,0.015460229,0.017057243,0.010460859,0,0.026841705,0.032317459,0
"RFX7",0.322151222,0.02576742,0.11410895,0.170924778,0.187302583,0.182846537,0.210105468,0.149050673,0,0.041052325,0.070388641,0.040122505
"SLC35C1",0.110694117,0,0.036220203,0.055767322,0.022610671,0.032522189,0.02880792,0.020947751,0,0.013236884,0.01687931,0
"TIGIT",0,0,0,0,0,0,0,0.014419722,0,0.003140301,0.00135616,0
"RNF41",0.598461559,0.333817086,0.237084221,0.37767058,0.362082653,0.45919037,0.475563233,0.433485297,0.263038427,0.198297582,0.195857298,0.118106153
"SLC2A4",0,0,0.234129525,0,0,0,0,0.005698605,0,0.001147051,0.000522905,0
"IBA57",0.16266366,0.017345074,0.061082854,0.093827789,0.103781709,0.081298079,0.073081705,0.148079275,0,0.095308404,0.113215156,0.068198558
