"","cortical.interneuron","MGE.neuron","MGE.progenitor","telencephalic.progenitors"
"MOGS",0.0878664232649893,0.0871225068202386,0.191770950501615,0.389520244938987
"TTC31",0.232397278243641,0.408873686423669,0.743187980218367,0.48790981726987
"NDUFS7",1.79810221240206,1.51263887091325,1.84450345012275,1.46587857178279
"PCGF1",0.562934023029399,0.167304772597093,0.180931839075955,0.686791837215424
"GRB14",0.0159766235441532,0,0.0160700909116051,0
"CLIP4",0.519613268240443,0,0.56187688220631,0.0646904494081225
"SPTBN1",1.9905335711983,2.55374851077795,1.7567169232802,1.96042881799596
"AUP1",1.5219211072292,1.10281391613759,1.85593508861282,1.2188726748739
"RTN4",2.48645431646761,2.25933343229386,2.37475005063144,1.51604399191482
"HTRA2",0.337147459387779,0.755096841316957,0.0160700909116051,0.491137053285326
"LOXL3",0.467587456669448,1.3874842644884,0.513014706698331,1.3758316891534
"DOK1",0.0504311812373827,0.283428283838125,0.611684181473472,0.211832318987165
"GALNT3",0.0820278266690812,0.054388192983774,0,0
"POLE4",0.642216339145067,0.41484706218426,0.647080823779106,0.692397023950304
"CCDC88A",3.10911688545965,2.5715001638119,1.57799411903728,2.32033413222858
"ACADL",0.0623502326461504,0,0,0
"MRPL19",0.985498233223861,0.979751847111262,2.03265088254755,1.37037961291415
"LANCL1",1.97552897907653,1.63964557991578,1.2634398503737,2.03016679627555
"WDR75",0.842894722830574,0.974909333082346,0.93340128660202,1.29972614560808
"EFEMP1",0.0114891337898542,0,0,0.400929876736232
"FANCL",0.708218469091181,0.629899031840838,1.47643195770004,2.73265477376325
"FN1",0.118457615375519,0.0337132559372829,1.40352539582686,0.774129786661693
"STAT1",0.620054289979755,0.290398111710182,0.909232247959484,0.493215356554304
"GLS",0.749518775996172,0.657128605705041,0.542099213058298,0.696804079626288
"PAPOLG",0.971926998136179,0.631647028602087,0.460864934054288,0.302440822124481
"DNAH6",0.033196211704668,0.181573144518412,0.370350550521504,0.13161609854017
"PECR",0.471197491546847,0.406377108051227,0.129504630511457,0.598827772906848
"UNC50",1.1861015887193,0.667168468236923,1.34702398289334,1.68758952404772
"IGFBP2",0.750312431100404,0.423410671261641,1.78171603788029,1.07829551505191
"ELMOD3",0.445854984926728,0.897980056129969,1.32793492620642,0.780763487730707
"IGFBP5",0.605541455858159,0.14864428456013,1.11296194249933,0.191194717373167
"USP34",1.18489667098477,1.94606582476543,1.20757738974961,0.959992633334228
