"","Neuron.Type.2","Undefined","Glutamatergic.neuron","Neuron.Type.1","Oligodendrocytes","Astrocytes.Type.1","GABA.ergic.neurons","Oligodendrocyte.progenitor.cells","Microglia","Endothelial.cells","Astrocyte.Type.2","Neuron.Type.3"
"MON1B",0.048938982,0.030292328,0.052802753,0.038748825,0.058456987,0.043038727,0.045219702,0.036994788,0.058966856,0.036262709,0.082899528,0.073575227
"MORC3",0.067890787,0.005068938,0.083350362,0.069996605,0.057108651,0.083809783,0.065494398,0.082251664,0.089524563,0.078764238,0.058818464,0.030036895
"MOSPD2",0.023098263,0.010187657,0.02120782,0.025193089,0.128963506,0.022627217,0.02824359,0.022053935,0.090198161,0.024296581,0.021181076,0.007687058
"MPC1",0.067533433,0.139417657,0.061308745,0.040481915,0.099341115,0.09034593,0.085379058,0.063114122,0.042104198,0.025319491,0.118229382,0.048278714
"MPHOSPH10",0.0592774,0.088764716,0.058947715,0.052668243,0.055642191,0.045263664,0.075798957,0.04539911,0.084667818,0.082965474,0.045440291,0.017038036
"MPHOSPH8",0.911848173,0.138060065,0.693973754,0.805767141,0.359437782,0.330216441,0.724013084,0.314574352,0.348703445,0.319978186,0.193218348,0.265040602
"MPP5",0.030120836,0.024688273,0.039448498,0.044254932,0.071730552,0.037553087,0.038064162,0.042185361,0.030689083,0.042160741,0.044122719,0.044316603
"MPPE1",0.044145759,0.009139866,0.045618787,0.040410944,0.037220105,0.053526302,0.047405178,0.038654865,0.106160785,0.036052822,0.062596476,0.003357817
"MPST",0.009031152,0.134771095,0.005414982,0.002480684,0.045272084,0.038255751,0.008906661,0.028307705,0.022204636,0.007956968,0.005851626,0
"MRI1",0.112251786,0.076746617,0.084734466,0.112159417,0.049861418,0.080467267,0.093653516,0.089327088,0.112848143,0.034257331,0.109850966,0.003054371
"MROH7",0.013424446,0.008363018,0.00612763,0.013502708,0.001446315,0.07490222,0.005026312,0.020850765,0.01515636,0.002122954,0.106273502,0
"MRPL1",0.071915116,0.136967912,0.075908674,0.064782857,0.032858208,0.059172412,0.056723737,0.051452505,0.058605244,0.099606486,0.054151611,0.033284134
"MRPL20",0.04610501,0.306125872,0.037828443,0.060987401,0.050550209,0.070457321,0.05222676,0.051173468,0.028642035,0.093946304,0.048469112,0.041108987
"MRPL23",0.012575002,0.731204041,0.01468134,0.011844184,0.014832652,0.009029381,0.013774794,0.023927884,0.010686468,0.043009219,0.027758949,0.041496889
"MRPL33",0.070894041,0.73878595,0.045830742,0.062845609,0.04540187,0.043924122,0.067770504,0.078443842,0.034149476,0.135204444,0.040396929,0.09239799
"MRPL41",0.099365464,0.758981324,0.279037337,0.14408732,0.071049038,0.109769604,0.143295923,0.041407038,0.039843685,0.070956673,0.073737042,0.055833771
