"","CD16..natural.killer.cell","CD16..natural.killer.cell.1","conventional.dendritic.cell","granulocyte","monocyte","plasma.cell","plasmacytoid.dendritic.cell","T.cell"
"UBE2T",0.0388965931805697,0.0384981386982107,0.156137264691866,0.22555211240595,0.0134674158560981,0.0844744658470154,0.0134277426919272,0.0464325285743086
"PPP1R12B",0.113697463815862,0.0877731515588697,0,0.0977791341868314,0.115112308006552,0.077267336845398,0.145481652199628,0.0549387591053567
"DNAJC10",0.298871959339489,0.219579203351292,0.647756704917321,0.494029240174727,0.438738847138434,0.685075221061707,0.694719220316687,0.169213873603415
"GTF3C1",0.137477286295457,0.441628359241752,0,0.124194775928151,0.152347204441814,0.21798552274704,0.110208930763295,0.19975854431672
"IL4R",0.681879609281366,0.180819942003484,0,0.202056673440066,0.251537126620795,0.323079161643982,0.360529943162025,0.378933578182916
"USP33",0.323353810743852,0.381719421762302,0.575703520041246,0.789385698058388,0.373762714337307,0.545339496135712,0.477128383725189,0.283374592470293
"PAK3",0,0.00318656924189582,0,0,0,0.0205765879154205,0,0.00903361215251177
"SNRPA",0.660318880731409,0.506769248442471,1.85378055389111,1.42166177792983,0.556405986959586,1.0727449887991,1.31668204762215,0.669314870561597
"SPAG6",0,0,0,0.0410781405188821,0,0,0.00736964422206942,0
"EXOSC5",0.395861716703935,0.119765921080489,0.932356852751512,0.696611582149159,0.237522620474379,0.634652815461159,0.859991625297901,0.247790557050505
"DYNC1I2",0.629041942683133,0.483130351836676,0.986509561538696,1.32052035873586,0.866802573618922,0.851679675579071,1.1659701167547,0.452710059617927
"APBB1IP",0.745794625715776,0.836021957460525,2.18702152142158,0.882649578831413,0.89563413493318,1.49194068014622,1.34880968819425,0.7389389569405
"LRCH4",0,0.0343764147103315,0.145148754119873,0.0551215236837214,0.0270062651822296,0.0490876716375351,0.0776940596064064,0.0336110882894782
"FAM76B",0.238762531497262,0.17831600369293,0.303030059887813,0.235769939422607,0.216208053852179,0.322198214530945,0.238229239501826,0.14053541703426
"SIRT6",0.202025953206149,0.169626744856824,0.462791314491859,0.291037394783714,0.228908174552386,0.211008630394936,0.41416148885936,0.134637927520005
"POLD3",0.0972343022173101,0.047457200126732,0,0.159763827107169,0.169518255302358,0.074208812713623,0.21378903254322,0.0660075466877013
"ACTN2",0,0,0,0.0161271181973544,0.00348334826892047,0,0,0
"CAPZB",1.68741114573045,2.51286193940851,3.04955563178429,2.17883198803121,2.30744696742144,2.10346027493477,3.11768661186941,2.09995353767745
"GPR137B",0.0130688428878784,0.0935935154283511,0.133904658831083,0,0.157452238684741,0.0434680235385895,0.134304468021836,0.0695681577126242
"NAALAD2",0,0,0,0,0.0030904330676227,0.0142658114433289,0,0.000465409493628875
"JADE1",0.550958357074044,0.390407289151844,0.289657977911142,0.491176595471122,0.290631173105085,0.384086802601814,0.40476521819929,0.327805766080581
"SLC25A43",0.08099524974823,0.0649238347481665,0.133904658831083,0.181490297750993,0.0719699697815349,0.127152445316315,0.231755053482182,0.0324212875597638
"UBE2A",0.455885961922732,0.564503990491465,2.33882654630221,0.852830613743175,0.776130476711521,0.945297567248344,1.50731229108829,0.279223890864537
