"","activated.CD4..T.cell","activated.CD8..T.cell","resting.CD4..T.cell","resting.CD8..T.cell","unassigned.activated.T.cell","unassigned.resting.T.cell"
"AL158013.1",0,0.00340723072863504,0,0,0,0
"AP000350.2",0.00161410796780569,0.000748300821936909,0.00288444489865038,0.00143346286531168,0,0
"AL158212.1",0,0,0.00106130226688366,0.00117221069680743,0,0
"AC126124.1",0,0,0.00087841412614341,0.00120625218629622,0,0
"AL591623.1",0.0158701140172423,0.0216389347360761,0.0207512481766838,0.0194455310859462,0,0
"AC023283.1",0.00561089102090517,0,0,0,0,0
"AL024474.2",0.00185360634381039,0,0,0,0,0
"AL513327.1",0,0.00180718427527091,0,0.0033558623982539,0,0
"AL591178.1",0,0.00184959263058763,0,0,0,0
"AL583804.1",0,0.00163856602993043,0,0,0,0
"LHFPL3-AS2",0,0.00272560039756685,0.00269275200022072,0.00341966720401756,0,0
"LINC01678",0.00995972225056474,0.00892408693855132,0.00326763445806931,0.00261254409739468,0,0
"AL035404.1",0,0.00223337326017856,0.00256697379119538,0.00210331893534716,0,0
"AC016027.1",0.0050615315718658,0.00839791285931765,0.00393431591836963,0.00770766133822458,0,0.0305931488139517
"RPL23AP18",0.0452453842442022,0.0352537909045291,0.0415546262149284,0.0326325695857329,0,0.0536896046376068
"AL354740.1",0.0204028565055243,0.0200368772998727,0.012817355537478,0.0153243084132007,0.0409434569509406,0
"AC079630.1",0,0,0,0.00104419335287427,0,0
"RPL21P66",0.00144021113112426,0.00147660693131899,0.00130318612167516,0,0,0
"SLC25A5P8",0,0,0.00135264588544089,0,0,0
"AC022080.2",0,0,0,0.00112614620159318,0,0
"ARL6IP1P2",0.0109763964221625,0.0102505115807755,0.0278259704070984,0.0187032834777418,0.0384690786662855,0.0299713435589067
"RPF2P1",0.00831238981815402,0.00747009492799066,0.00370073524629868,0.00114560199092763,0,0
"MIPEPP1",0,0.00100047045217287,0,0,0,0
"PPP1R26-AS1",0,0,0.00339534570499239,0.0020285756087296,0,0
"NRSN2-AS1",0.00782227576289944,0.0106127058441315,0.00867751693662156,0.00665930668680594,0,0
"SFTA1P",0.0077860981782037,0.00503883269963352,0.0075171345050128,0.00364894743388085,0,0
"AL606662.1",0,0,0.00117563892132347,0,0,0
"AL353572.1",0,0.00154397785164403,0,0,0,0
"AC016700.1",0.00120639332123495,0.00620728571410954,0.00260563367698373,0.00263217932921499,0,0
"BX571846.1",0,0,0,0.00223533982934633,0,0
"PGM5P4",0,0,0.00128128150391904,0,0,0
"RAB28P5",0,0.00160572856315217,0,0,0,0
"RPS15AP17",1.86875639476382,1.3643416467324,2.1808467073856,1.68827983484673,2.21306290124592,1.81845460002054
"AC025188.1",0.00147763647578668,0.0017521792720111,0,0.00239534426899192,0,0
"AL136980.1",0.00188668100027141,0.00327136967849092,0.00377053226550869,0.00299475127654321,0,0
"CR786580.1",0,0.00136365802643487,0,0,0,0
"AC104843.1",0.109445357947895,0.0555750249917783,0.0792181999294077,0.0631153070628553,0.0457147146526136,0.0537094061806698
"RPL21P3",0.0149020150762222,0.00422395563604844,0.0163546980993273,0.0104911427930307,0,0
"AC104134.1",0,0.00137096094326358,0,0,0,0
"RBMS1P1",0.0118982188339734,0.0131482923250502,0.00201244682499765,0.00352253803254323,0,0
"TNPO1P1",0.0115096605130656,0.0371133595754952,0.0284855129475367,0.0317018896960896,0,0
"LINC01504",0,0.00423613624956141,0,0.00119333706838821,0,0
"BOLA3-AS1",0.0296649364768647,0.0307089240606905,0.018614408618634,0.0176394165334446,0,0
"MPRIP-AS1",0.0580743571693586,0.0646786410205528,0.069558889952299,0.0778481373409077,0,0.0583467611530483
"AC004938.1",0.0030367949125566,0.0026881375304818,0,0.00379575839707851,0,0
"RPS15AP10",0.0424852793227526,0.041975037037228,0.0476708158449275,0.0657612602191361,0,0.0524869493190074
"RAB6C-AS1",0,0,0.00101907418976997,0.00476942912897959,0,0
"AL021707.1",0.00388866269221765,0,0.00114319076322423,0.00333418857623885,0,0
"AL590233.1",0,0,0,0,0.0396868254009046,0
"FDPSP1",0,0,0.00128128150391904,0,0,0
"RFPL1S",0.00335887725222189,0.00456710456803416,0.00249635828346123,0.00918070046648127,0,0
"JPX",0.307847040684248,0.268545739614784,0.274113809939512,0.256429012800851,0.30046679346185,0.156168027212156
"ATP13A4-AS1",0.00157084623732112,0,0,0.00202616664004922,0,0
"AC099789.1",1.9294892265769,1.46294996386996,2.08807394843106,1.50882191900821,1.38724868674027,1.36959149053433
