"","conventional.dendritic.cell.type.1.induced.day.9.dendritic.cell","conventional.dendritic.cell.type.2","human.embryonic.fibroblast","human.embryonic.fibroblast.induced.day.type.3.dendritic.cell","induced.day.9.dendritic.cell"
"NUDCD2",1.17047565677834,1.223311102704,2.17847226056896,1.74969121927973,1.04453313144048
"IRF2BP1",0.0953775514919373,0.156308862723802,0.547312983333087,0.362244949647316,0.150020799160004
"HSPA4",0.986454958265478,0.971795598143025,1.71265568361908,1.31081438550843,1.49585316371918
"FOXA3",0,0,0,0.0105990712221238,0
"SLC26A5",0.0257185788234222,0.0151248025266748,0,0,0.0107968502044678
"COMMD5",0.987741087717116,0.922733180617031,1.14830576591804,0.987640912217469,0.760308825174967
"SGCD",0.00737754179506886,0.0325418647966887,0.0866587416070407,0.162230279890657,0.0456277147928874
"GTSF1",0.00284023342415663,0.0163731920091729,0,0,0
"DPY19L2P2",0,0,0.0168499532293101,0.0244684139789256,0.0163712259928385
"ZNF16",0.0738223585436649,0.220745831727982,0.19158061527815,0.201648493116659,0.137370204289754
"ARMC10",0.871257449346482,0.671864708003245,0.834463455833373,0.852168532693931,0.770183817227681
"RNF34",0.408575470350227,0.585347583419398,1.06494510310595,0.79329238251791,0.4455279712677
"ACYP2",0.815556197086823,1.1220063692645,0.551717545947091,0.618643673005593,0.819008287747701
"TRABD",0.90097161690689,0.784474128171017,1.04329349193417,0.758472265654942,0.605318996111552
"TMEM133",0.0182064968491308,0,0.041835554701383,0.049063346736658,0.0353840545018514
"ATF7",0.421823734476305,0.576867726288344,0.737118109327848,0.679108601123352,0.381836286385854
"RASA4B",0.00892139697561459,0,0,0,0
"SOCS6",0.697131823299104,0.462804943323135,0.509965922011704,0.382305293059614,0.365423927307129
"CAVIN4",0.00653268963596153,0.0198868324882106,0.0206015031845843,0.0186564565736372,0.0263665571212769
"ZNF296",0.261607367496986,0.0914418760098909,0.0610667244332736,0.0274512476767833,0.0888753312428792
"HOXB9",0,0,0,0.00371273530575784,0.00938259887695313
"TTLL6",0,0,0,0.00277142014874811,0.0124402402242025
"POLH",0.100215876478432,0.121082133368442,0.238471187138167,0.15447319843271,0.137968998591105
