"","macrophages","mast","B.naive","B.memory","plasma","T.CD4.naive","T.CD4.memory","T.CD8.naive","T.CD8.memory","NK","pDCs","mDCs","monocytes.C","monocytes.NC.I","neutrophils","Treg","endothelial.cells","fibroblasts"
"ADAMTS3",0.000670929466958489,0.0178405645504994,1.31229655540319e-07,1.44271197655737e-07,1.44218124315858e-06,1.27846193606083e-07,1.93891878181844e-07,8.58841086242214e-08,1.5074807421492e-07,1.15444805879848e-07,2.12866467553153e-07,7.69538902360263e-07,2.47078299348902e-07,2.72801366321724e-07,9.63045208193602e-08,1.93891878181844e-07,0.0197552493874762,0.0204760011628249
"ADAMTS5",0,0.0108194071767069,3.18324439072718e-06,2.59933049118084e-06,1.51665593352165e-05,4.7656311925932e-07,7.22756897636656e-07,3.2014405393152e-07,5.61932822900875e-07,4.30335352508841e-07,7.93487118399564e-07,0.000410482550959581,0.0137045157741929,1.40506095946885e-05,3.58987479766975e-07,7.22756897636656e-07,0.106274491366972,0.069529533254172
"ADORA3",0.13005641267316,0.0577785617591257,3.20846444917862e-05,1.59454325533806e-06,3.22345913603347e-06,2.85752559008504e-07,6.67077061493684e-07,1.84578781693871e-06,3.36941185008952e-07,2.58033874720202e-07,0.0171284815544416,0.140086519494215,0.0356270798500557,0.0186533631307553,1.81370705988743e-05,4.33373093078862e-07,0.0349613756187473,0
"ADRB2",0.00534547214432753,0.21091414984697,0.00674767954829403,0.0110287073603048,0.0098225473384859,0.00171592071792069,0.00848953667385035,0.000166855554178079,0.0343688829469385,0.0628003907488564,0.0230450227022061,0.0566186802707021,0.0292283657734226,0.0717811574482083,0.00921762378468572,0.00405478046113828,0.0348556429917645,0.00349648635315805
"AIF1",0.570653214374889,0.0338525283044845,0.0177780819853506,0.0155675041059865,0.0147921150156085,0.0142982230751479,0.00219643011794361,0.0164188229319732,0.000147008073130078,0.00315741818837361,0.0306600996944854,1.19843255671509,0.517988222939183,1.26030974119762,0.183126560392418,0.00438257921496698,0.00213980937554455,0.0041804352004356
"AIM2",0.0135897628672829,0.0107717631791642,0.03787312277771,0.315479787649399,0.389827984463494,0.00122915973286841,0.011436371217354,0.00106858912521158,0.0085279160768749,0.00229492939543743,0.00116170261487294,0.0589610797211832,0.0472533860354398,0.0486059035921225,0.0383584646681364,0.0146429967445995,0.0136204658926251,0.00329245158959072
"AK5",0.000177978353498912,0.00838557737522946,0.000986677268182841,0.00163520180583431,0.00060758647575803,0.0229681536148361,0.0070028939339638,0.0139916935275225,0.00150915016766865,0.00494261113967904,0.00183168901148211,0.0172270412725607,0.00151173728724527,0.00133064759020944,8.70648177002298e-06,0.0159408033811387,0.000595409103517258,0.00677344743420938
"AKAP12",0.0114598149498444,0.758478962932523,0.000900325450066304,0.000173783483319772,0.00122094781900781,0.000167450787773762,0.000427205657084742,2.95130759161788e-05,5.06104251196399e-05,0.000288766393436521,0.00031703777654673,0.000574879760712043,0.000382812611368522,0.000322776631461503,7.54452330087208e-05,0.000233156682233673,0.75644414765112,0.907359562022242
"ALOX15",0,0.0158537115974746,0.000178082242103603,0.00122576469135105,0.00041125386746035,3.01233189096265e-05,7.99793913606071e-05,1.48355878427197e-05,8.93755464035627e-06,4.43978356877216e-06,0.0314234589252202,0.178208350213727,3.04728186584619e-05,2.06112875284009e-05,5.86964304115443e-07,9.52232128718317e-06,0,0
"ALOX5",0.464778064769274,2.48048244526487,0.468048094810565,0.532919331484052,0.124437882320663,0.00402453899825152,0.015302700922334,0.00259380955538853,0.0064071417742561,0.00591256993020627,0.0162203016009893,1.93026665038065,1.24807300318439,1.30336797671636,0.877599001724785,0.00959676315844612,0.0100547317394258,0.0037790620963688
