"","activated.CD4..T.cell","activated.CD8..T.cell","resting.CD4..T.cell","resting.CD8..T.cell"
"PROK2",0.00712936964546747,0.0502732220502973,0.00328071827844443,0.100677631473942
"LRRC58",0.195866576667103,0.211263922304306,0.197860068464132,0.193743984268657
"FSTL1",0,0.00117869896640585,0.000541116250854137,0
"LMOD1",0,0,0.000631471794433803,0
"ELF3",0.00220106063531321,0.00409616829526866,0.00439002075058281,0.00243487381762155
"TMEM183A",0.809650462212363,0.862079160617827,0.529781865005089,0.551979380010785
"TMEM169",0.0098757810933302,0.0108672761149462,0.0198466646479614,0.0154087489777369
"IGFBP7",0.00360912470760791,0.0139731078146103,0.0025246687388934,0.00580377494983884
"TRIM46",0.0245942604197073,0.0273332153086089,0.022622935420391,0.0163612308371108
"KRTCAP2",0.270495227136401,0.318143681746125,0.273435245300865,0.36366994210717
"CXCR1",0,0,0,0.00264226302430574
"ARPC2",3.59490309237918,3.96113595494792,2.86138188965387,3.6870440604715
"TSACC",0.0104042764091226,0.012594186603599,0.00425232341752002,0.00493849848644931
"CCT3",1.51776799457748,1.45706388379964,0.839623858045316,0.811588289811439
"TMEM79",0.0466156901910645,0.0403108878869414,0.0504550104307631,0.0668856768081916
"SSR2",2.6436936873381,2.79465714285589,2.84686445174379,2.82702201693601
"RNF25",0.094243706277299,0.112782259774717,0.0803859527087399,0.1054738306189
"STK36",0.00847882449912641,0.00976314887443494,0.0126876559030753,0.00638733387175477
"ADORA1",0,0,0.000439633419364436,0
"NEK10",0.00466982452324153,0.00303285419159907,0.00430340208992581,0.00935540612575069
"CCDC141",0.00707912356587674,0.00412598820225392,0.0163244533489879,0.0057182523211071
"CRYBA2",0.000389832920907951,0,0.000555196731742261,0
"KIAA1524",0.0256562476846079,0.0288979757238265,0.0151929101265337,0.00979070109964191
"EOMES",0.0531590902143567,0.624769905540926,0.0580135736814558,0.626633461170772
"CWC22",0.235811451533229,0.194902847385371,0.162787154281217,0.191858527222495
"AZI2",0.385893268841062,0.45985595249853,0.379812669680619,0.437101180610788
"TGFBR2",0.28714621782266,0.467462115053915,0.43125972562647,0.455953449454641
