"","activated.CD4..T.cell","activated.CD8..T.cell","resting.CD4..T.cell","resting.CD8..T.cell","unassigned.activated.T.cell","unassigned.resting.T.cell"
"B3GNTL1",0.0551979760909778,0.0807522165275926,0.0236184563212126,0.0363116747103863,0.0530773065029046,0
"MLXIP",0.251825561798426,0.19013136157928,0.309081217014108,0.187494817579755,0.098449306610303,0.181003825231032
"BAK1P1",0,0,0.00158385518487703,0,0,0
"RWDD4P2",0.0647153016992889,0.0438720862412171,0.029372689467275,0.0435975545681782,0,0
"EIF3KP1",0.0132220173340394,0.0105832578288241,0.0107248162188042,0.00443735122680664,0,0
"AURKAIP1",1.44276356921465,1.60849142561153,0.864201295888155,1.09743322467212,1.13188879000835,0.580724385651675
"TTLL11",0.0174325783347243,0.00941038592673526,0.0156373013212029,0.00806146141905222,0,0
"TOMM5",0.446802033583641,0.423775346399506,0.248884739049726,0.288394206503163,0.0998273965639946,0.258930108763955
"AP002986.1",0.00811839485626771,0.00374933421035586,0.0105974550631704,0.017250510920649,0,0
"C15orf53",0.00276902374096474,0.00320891022810234,0.0046338452984392,0.0123663905244436,0,0
"SLC35E3",0.12636412140079,0.126282998237651,0.204144562774915,0.217149754636776,0.0498309991298578,0.264730903235349
"ZNF169",0.0416186694197527,0.0392540983943755,0.0637912688975742,0.0938386709793754,0.0910614087031438,0
"RUVBL1",0.232525521199322,0.220000429901221,0.0983519828789626,0.103225757468561,0,0
"SFN",0.00143884676764094,0,0.00257692740562483,0.00384727560955545,0,0
"MSRA",0.0819618418353245,0.0785231556979465,0.0694546706918388,0.0484757932816973,0.0451781841424795,0
"CCDC168",0.00572788300015805,0.00653492674535635,0.00265906984213448,0,0.0577135330591446,0
"CTDNEP1",0.38815859994938,0.417977720274961,0.2767105961353,0.325158724281358,0.0965116146283272,0.263292215087197
"ETV4",0,0,0,0.00453937364661175,0,0
"FAM172BP",0,0.00257200687707559,0.00130409427485637,0.004075130616656,0,0
"SWI5",0.153841476369773,0.169080728618978,0.109607359662645,0.186017972341976,0.0530773065029046,0.08349609375
"GAPT",0.000965225061608354,0,0.00591269730993431,0.0101459470594892,0,0
"BAIAP2",0.0204378089095098,0.0140464060032534,0.0192405452863484,0.00439108469471428,0,0.178750325332988
"CALCB",0.000943589697468505,0.00542746245797031,0.00462755155499973,0,0,0
"CREG2",0,0,0.00156802564899003,0,0,0
"RPL7AP66",0.307972525423605,0.180347046713824,0.288631806819377,0.118455937190085,0.139603348878714,0
"ZDHHC21",0.0511942954840639,0.069746254850279,0.0507280966007028,0.080323837114417,0.0900186361410679,0.166459430347789
"PLEKHF2",0.193674520774035,0.21330035334627,0.194393949694585,0.22116243913307,0.201251234763708,0
"A2M",0.00403997656532321,0,0.00165568414281626,0.00970582784332844,0,0
"ARL4D",0.0200394290325209,0.0152689629543481,0.0177268296361339,0.00972959891609524,0,0
"LRRN1",0,0,0.00125184627460282,0,0,0
"UBE2O",0.0889106954055927,0.0898596963872203,0.0696631685315269,0.0873172674119843,0.051902697636531,0.0790401588786732
"ORAI3",0.0666796517553547,0.104806210377547,0.10091046384863,0.133885473049946,0.05370910351093,0.164698221466758
"UNC119B",0.0459686803684074,0.0217399423027653,0.0479540127698014,0.0521258502273086,0.0451781841424795,0
"DENND2C",0.00873275384647062,0,0.01892475306486,0.0082429936213523,0,0
"PLEKHD1",0.00689861991188743,0.0141342546706809,0.00910244275364772,0.0518648716233532,0,0
"TUBB6",0.00593518093675912,0.0132335105592787,0.00507220748678266,0,0,0
"LYSMD3",0.0912397087312575,0.142014674290166,0.0874272547414676,0.0901049664301902,0.0976750025382409,0
"B3GALT6",0.170816718839768,0.167172074702065,0.0818788726402692,0.065849943338714,0,0
"ZNF613",0.012575293427522,0.0247469872844462,0.0147569665456695,0.033071113669354,0,0
"TMPRSS7",0.00240056095573966,0.00772932392698097,0.00264961950853962,0.00369792162261394,0,0
"AC007160.1",0.0304461769643286,0.0544947481821226,0.0407623876023197,0.0446512358529227,0.0419693635060237,0
"NUPR1",0.00130393899437137,0.00309061005343428,0.00566841122530496,0.00560810669608738,0,0
"JAKMIP2",0.0119790544880358,0.0590331042235443,0.0181295877016378,0.0870940463143106,0,0
"RPL23P2",0.00801533510745121,0.010534016837623,0.00897146538923312,0.00910070786564987,0,0
"MBLAC2",0.0142343571341701,0.0261215974129616,0.0289614846022931,0.00403544206796966,0,0
"TPRN",0.0157048707014091,0.0205965518439239,0.0104301716302104,0.0118719305310931,0,0
"KCNE5",0.00320174391383307,0,0.00155793643388592,0,0,0
"ZNF683",0,0.00408866300490694,0.00503955481059793,0.161121436823969,0,0
