"","CD16..natural.killer.cell","CD16..natural.killer.cell.1","granulocyte","monocyte","plasma.cell","plasmacytoid.dendritic.cell","T.cell"
"ZMYND10",0.141189280897379,0.0702084648482343,0,0.0410396457643983,0.045231173435847,0.0974513574650413,0.0672061720007175
"ABCB5",0.121896821074188,0.125018827141599,0.149734050035477,0.0467774845335795,0.0813094675540924,0.0495740637967461,0.0909519969309504
"SLC25A13",0.143628753721714,0.12058846715917,0,0.325479980766403,0.433853753407796,0.612563203824194,0.13258131347798
"ST7",0.141365945339203,0.0852956949396336,0,0.0780547545378253,0,0.0372071234803451,0.0494082185062202
"CDC27",0.412490830756724,0.516624779460278,0.152050105008212,0.530682151917345,0.717894738912582,1.19242903511775,0.527937885696018
"SLC4A1",0.0468153078109026,0.093245471728609,0.111955344676971,0.0164109811834667,0.0249410887559255,0.00995844367303346,0.0597335734681503
"CALCR",0,0,0,0,0,0,0.000918661178769292
"HCCS",0,0.0860631364457151,0,0.351450323225549,0.882741753260295,0.683551876168502,0.0787846985700968
"DVL2",0.27280043810606,0.147735014240792,0.433900486339222,0.153905544499433,0.420888201395671,0.307378364236731,0.194800799601787
"PRSS22",0,0,0,0,0,0,0.00433796394515682
"UPF1",0.135928399860859,0.189153175404731,0.253050782463767,0.257200327904328,0.213082718849182,0.226160526275635,0.148762928191069
"SKAP2",0.836820688098669,0.72055320822178,0.810568115927956,2.38171810013537,1.66408917506536,2.61416465671439,0.287023771654915
"SLC25A5",2.27495782449841,1.60845791722866,0.45310605656017,3.52355818302365,3.12252149581909,4.13617657987695,1.67279508484376
"MCUB",1.73005802929401,0.55000146399153,0,1.21393993311787,0.205546617507935,0.930655422963594,1.19546135233061
"POLR2J",0.664801336824894,0.477477283553874,0.0668044957247647,0.876786908747987,0.733638564745585,1.08516953336565,0.508792678256695
"DHX33",0.099034309387207,0.0642665390004503,0,0.128113085068531,0,0.19438457645868,0.099501896790556
"MEOX1",0,0,0,0,0,0,0.0080974919973193
"THSD7A",0,0,0,0,0,0,0.000606068968772888
"LIG3",0.964898185804486,0.765565420718903,1.14907899228009,0.594363286350825,0.916974292198817,0.788524976686428,0.786334616142149
"RPAP3",0.410164362750947,0.223491463255375,0.314425230026245,0.530009659273284,0.177852857112885,0.491784556915886,0.28775691466557
"ACSM3",0.151630356907845,0.05789707632775,0.389479341832074,0.152767161312311,0.0666165192921956,0.0929696936356394,0.0620047052164336
"REXO5",0,0.00869214407941128,0.786364400928671,0,0,0.0492794827411049,0.0147952740256851
"CIAPIN1",0.150029674172401,0.257762951736755,0.338095675815235,0.533159797976476,0.463229449590047,0.608250072127894,0.33728906612944
"SPPL2B",0.374020619317889,0.136985822560939,0.0410221029411663,0.316311677050146,0.691759538650513,0.563115635984822,0.253274611645454
"FAM214B",0.0877077057957649,0.130329536630752,0.16328763961792,0.617501676823041,0.224633471171061,0.537707146061094,0.0992130751948099
