"","acinar.cell","not.available","pancreatic.A.cell","pancreatic.D.cell","pancreatic.ductal.cell","type.B.pancreatic.cell"
"MYOM3",0.00398911395162906,0,0.011559285223484,0,0.00733089355322031,0.00459835834709215
"SH3BGRL3",1.07170389255263,1.60102046459913,1.66097279232261,0.88344713261253,2.21942331974323,1.33504065319344
"CNKSR1",0.14729285394808,0.0728769731521606,0.152627882680723,0,0.118871836478894,0.268679909868005
"RPL11",2.77301281803059,2.9008985042572,2.78503432297813,2.31548218350661,2.9689306813937,2.54797047137478
"IL22RA1",0.995291946912712,0.0549368381500244,0.000709110937480416,0,0,0
"ZNF593",0.152078963675589,0.445095003545284,0.469890429704849,0.060765780900654,0.448186410390414,0.320554738059456
"C1orf216",0.128420345344633,0.0941671669483185,0.0670786226567413,0.0580665100561945,0.0882270207771888,0.135429597195284
"KIAA0319L",0.878836831815963,0.473766306042671,0.3565259790048,0.462860616414171,0.787256779349767,0.402983643390514
"EVA1B",0.0126745619301526,0.0845197102427483,0.032186689786613,0,0,0.0175124980785229
"PLK4",0.0124184927850399,0.00861361682415009,0.0368677388344492,0,0.0112457458789532,0
"MAP3K6",0.0222657599820281,0,0.0555138391043459,0,0.0197295133884136,0
"GPN2",0.0817060387640629,0.206807027757168,0.235908069980464,0.103680135388123,0.472425538989214,0.294603136586554
"SYTL1",0.370878069327687,0.133454937934875,0.503321787974398,0.516785646739759,0.148881016098536,0.390953225118143
"WDTC1",0.0392798882610393,0.139829373955727,0.108156773727387,0.148818565042395,0.183067824748846,0.139742271031862
"CELA3A",4.492100771868,0.196559847593307,0.24295151712639,0.107505550510005,0.5686958108957,0.192722217352302
"NBPF3",0.316064386013544,0.28471264064312,0.212984137503164,0.0657771951273868,0.135748584912373,0.163358325575605
"HSPG2",0.021713432978909,0.114514310359955,0.0291896621430559,0.0391426258965542,0.699933298276021,0.0130746195345749
"ITGB3BP",0.392765815211636,0.0941973093152046,0.13149259977841,0.0681269843327372,0.491398512858611,0.112245659309405
"SERBP1",2.36978313101912,1.16447117477655,1.19399772152039,0.892810658404702,1.65266720767205,1.04661446662597
"BCL10",0.657717383695099,0.455615428090096,0.464700921305588,0.10624697333888,1.05313593699382,0.196555094034583
"CYR61",1.17093088281042,0.471621084213257,0.00632078134055649,0,3.00938661877926,0
"PRKACB",0.412138688114454,1.3713548874855,0.798966967434223,1.43352341338208,0.282800522217384,1.31043927647449
"PIGK",0.462647434113161,0.581266191005707,0.494733448672508,0.462142793755782,0.464330765375724,0.570696956397575
"TINAGL1",0.0164800297539189,0.261235896348953,0.00848317891359329,0,1.10381432175636,0
"AZIN2",0,0.0576805680990219,0.0776666936996792,0.068815783450478,0.0402701891385592,0.134431061185436
"RPS8",1.92992278104121,2.35455118238926,2.34976427576372,2.57995089182728,2.48628883270117,2.1857095276132
"KIF2C",0.00314917457553576,0.0192246198654175,0.00417787182543959,0.0943782015850669,0.0413860467764047,0
"PTPRF",0.635391551790372,0.588185016214848,0.739211481796311,0.921036821446921,1.64104636586629,0.464014948518188
"BEST4",0.0128796686822513,0.0413133144378662,0.0358212478458881,0,0.0334912556868333,0
"MOB3C",0.144872577404076,0.304981151819229,0.0854521697786238,0,0.0523537195645846,0.0487957015449618
"CYP4B1",0,0,0.0109589855585779,0,0,0.00601987411946426
"TMEM61",0,0.00353187054395676,0.268060391369675,0.40675371571591,0,0.212347095763242
"LMO4",0.205477952113691,0.0233574336767197,0.0565842686753188,0,0.298360657921204,0.00401905289402715
"SYPL2",0.247490015232338,0,0.00158283300697803,0,0.0334562374995305,0
"MTF2",0.640285369219645,0.66102633357048,0.758941189851612,0.758765833942514,0.552482489439157,0.422923524438599
"SLC44A3",0.627199763256424,0.157012224197388,0.463377010210284,0.446221439461959,0.994172840852004,0.0482130918973758
"IGSF3",0.0469723616568547,0,0.0107048143233572,0.0810019969940186,0.273098668685326,0
"ZNF697",0.0131694100937753,0.105348963737488,0.111174447994147,0.00927194247120305,0.0618232360252967,0.22661918953613
"CTTNBP2NL",0.382503482108971,0.529017158150673,0.374758166660156,0.182746862110339,0.774841815691728,0.0111024742141182
"STRIP1",0.280867096106961,0.185394896268845,0.283586510257529,0.180040748495805,0.305143180260291,0.132477176042251
"PSMA5",0.963431457303605,1.34288561820984,0.816503566955881,0.716123969931352,1.25586670637131,1.14716434607535
"FNDC7",0,0,0.0260191164644701,0,0.0050353637108436,0.0146205660737591
