"","Keratinocytes","Clara.cells","Epithelial","Airway.Multiciliated.Cells","Brush.cells","Undefined"
"Ibtk",0.054409079,0.11576338,0.090752158,0.114686775,0.10202765,0.047857143
"Tpbg",0.306449256,0.058952113,0.050234279,0.033457077,0.217880184,0.438650794
"Ube2cbp",0.051612314,0.007678873,0.011911221,0.027447796,0.048571429,0.00984127
"Pgm3",0.0994443,0.155594366,0.165462392,0.125220418,0.094470046,0.172222222
"Rwdd2a",0.01147665,0.005430986,0.018261406,0.007517401,0.051290323,0
"Me1",0.332569789,0.471014085,0.425635018,0.241786543,0.212165899,0.426825397
"A330041J22Rik",0.013509001,0.021932394,0.020160296,0,0.021105991,0.021984127
"Cyb5r4",0.131633185,0.131233803,0.084389642,0.12612529,0.240092166,0.231428571
"Cep162",0.018802505,0.023543662,0.026140567,0.134477958,0.030599078,0.015396825
"Nt5e",0.168108531,0.115504225,0.085154131,0.285336427,0.032442396,0.179047619
"Snx14",0.125880511,0.124388732,0.110998767,0.144408353,0.15078341,0.110079365
"Syncrip",0.215369163,0.175594366,0.097003699,0.083549884,0.19124424,0.441984127
"Zfp949",0.05016958,0.029211268,0.039975339,0.028955916,0.073870968,0.079603175
"Mthfsl",0.301387947,0.203611268,0.165092478,0.190765661,0.36281106,0.458571429
"Mthfs",0.291100965,0.213498592,0.182515413,0.222598608,0.305299539,0.257142857
"Tmed3",1.216746674,1.104715493,1.367447596,0.743967517,1.43235023,1.314206349
"Ctsh",1.371325333,1.971938028,1.672096178,2.198770302,0.338202765,1.111269841
"Morf4l1",0.250542656,0.310230986,0.265881628,0.351531323,0.419124424,0.417936508
"Tbc1d2b",0.062021915,0.0796,0.07135635,0.046102088,0.020276498,0.147380952
"Plscr1",0.63566658,0.395808451,0.663181258,0.974060325,0.430046083,0.771349206
"Plscr2",0.02338899,0.069222535,0.042885327,0.227540603,0.025576037,0.146428571
"Plscr4",0.091351422,0.020771831,0.003427867,0.011438515,0,0.136349206
"Plod2",0.052452387,0.018214085,0.025351418,0.006844548,0.010875576,0.081825397
"Slc9a9",0.07958779,0.029921127,0.030998767,0.027633411,0.037096774,0.06515873
"U2surp",0.138416384,0.204895775,0.125228113,0.226519722,0.377373272,0.19484127
"Pcolce2",0,0.029504225,0.000937115,0.013155452,0.317327189,0.00515873
"Trpc1",0.026723193,0.011650704,0.01215783,0.022529002,0.095529954,0.055555556
"Pls1",0.07733629,0.102614085,0.077127004,0.080139211,0.130230415,0.033650794
"Atr",0.02406731,0.033267606,0.011418002,0.05350348,0.088294931,0.046904762
"Xrn1",0.042577615,0.070569014,0.030468557,0.103828306,0.057926267,0.092222222
"Gk5",0.026206627,0.019076056,0.030431566,0.016171694,0.019400922,0.030873016
"Tfdp2",0.14905557,0.092174648,0.049309494,0.10812065,0.15281106,0.212777778
